Initial condition - time 0.0 - no actions  
fireBL 102 StateAction StateAction [19, 14] [18, 14] 
controlT 102 StateAction StateAction [9, 8] [9, 5] 
fireBT 102 StateAction StateAction [4, 9] [4, 8] 
fireBL 102 StateAction StateAction [11, 10] [12, 10] 
controlT 102 StateAction StateAction [7, 8] [7, 5] 
fireBL 102 StateAction StateAction [16, 15] [15, 15] 
fireBT 102 StateAction StateAction [5, 8] [5, 7] 
fireBL 102 StateAction StateAction [8, 10] [8, 9] 
controlT 102 StateAction StateAction [14, 8] [14, 7] 
fireBPA 102 StateAction StateAction [8, 15] [8, 16] 
fireBL 102 StateAction StateAction [7, 11] [7, 10] 
fireBL 102 StateAction StateAction [14, 10] [14, 9] 
fireBL 102 StateAction StateAction [15, 13] [15, 14] 
controlT 102 StateAction StateAction [14, 8] [15, 6] 
fireBL 102 StateAction StateAction [5, 7] [6, 7] 
fireBL 102 StateAction StateAction [16, 15] [15, 15] 
fireBT 102 StateAction StateAction [4, 8] [4, 7] 
fireBT 102 StateAction StateAction [5, 13] [5, 14] 
fireBL 102 StateAction StateAction [14, 13] [14, 14] 
fireBL 102 StateAction StateAction [21, 10] [21, 9] 
fireBPA 102 StateAction StateAction [12, 15] [12, 16] 
fireBL 102 StateAction StateAction [8, 15] [9, 15] 
fireBT 102 StateAction StateAction [23, 14] [22, 14] 
fireBL 102 StateAction StateAction [12, 15] [12, 16] 
fireBL 102 StateAction StateAction [15, 11] [15, 10] 
fireBL 102 StateAction StateAction [12, 15] [11, 15] 
fireBL 102 StateAction StateAction [16, 15] [17, 15] 
fireBL 102 StateAction StateAction [5, 9] [6, 9] 
fireBT 102 StateAction StateAction [1, 10] [1, 9] 
fireBT 102 StateAction StateAction [24, 11] [24, 10] 
fireBL 102 StateAction StateAction [12, 15] [12, 16] 
fireBL 102 StateAction StateAction [16, 15] [16, 16] 
fireBL 102 StateAction StateAction [18, 10] [17, 10] 
fireBT 102 StateAction StateAction [6, 13] [6, 14] 
fireBL 102 StateAction StateAction [18, 10] [17, 10] 
fireBL 102 StateAction StateAction [8, 14] [7, 14] 
fireBL 102 StateAction StateAction [18, 10] [17, 10] 
fireBL 102 StateAction StateAction [12, 11] [12, 10] 
fireBL 102 StateAction StateAction [11, 10] [12, 10] 
fireBL 102 StateAction StateAction [16, 15] [16, 16] 
fireBL 102 StateAction StateAction [19, 10] [19, 9] 
fireBT 102 StateAction StateAction [22, 9] [23, 9] 
fireBT 102 StateAction StateAction [24, 13] [24, 14] 
fireBT 102 StateAction StateAction [2, 15] [2, 16] 
fireBL 102 StateAction StateAction [22, 9] [21, 9] 
fireBT 102 StateAction StateAction [2, 14] [1, 14] 
fireBL 102 StateAction StateAction [12, 11] [12, 10] 
fireBT 102 StateAction StateAction [2, 15] [1, 15] 
fireBL 102 StateAction StateAction [14, 10] [14, 9] 
fireBL 102 StateAction StateAction [19, 16] [19, 17] 
fireBL 102 StateAction StateAction [21, 10] [21, 9] 
fireBL 102 StateAction StateAction [15, 13] [15, 14] 
fireBL 102 StateAction StateAction [12, 15] [11, 15] 
fireBT 102 StateAction StateAction [2, 16] [3, 16] 
fireBT 102 StateAction StateAction [1, 10] [1, 9] 
fireBL 102 StateAction StateAction [22, 9] [22, 8] 
fireBL 102 StateAction StateAction [10, 10] [10, 9] 
actControl 102 StateAction StateAction [8, 15] [7, 16] 
fireBT 102 StateAction StateAction [2, 10] [2, 9] 
fireBL 102 StateAction StateAction [19, 16] [20, 16] 
fireBL 102 StateAction StateAction [13, 11] [13, 10] 
fireBT 102 StateAction StateAction [22, 14] [22, 15] 
fireBL 102 StateAction StateAction [8, 15] [9, 15] 
fireBL 102 StateAction StateAction [15, 11] [15, 10] 
fireBT 102 StateAction StateAction [24, 11] [24, 10] 
controlT 102 StateAction StateAction [7, 16] [6, 18] 
fireBL 102 StateAction StateAction [19, 16] [19, 17] 
fireBL 102 StateAction StateAction [16, 15] [16, 16] 
fireBL 102 StateAction StateAction [8, 15] [8, 16] 
controlT 102 StateAction StateAction [7, 16] [5, 17] 
controlT 102 StateAction StateAction [7, 16] [5, 15] 
fireBT 102 StateAction StateAction [5, 14] [6, 14] 
fireBL 102 StateAction StateAction [16, 14] [17, 14] 
fireBL 102 StateAction StateAction [8, 14] [9, 14] 
fireBH 102 StateAction StateAction [1, 14] [1, 13] 
fireBT 102 StateAction StateAction [3, 15] [4, 15] 
controlT 102 StateAction StateAction [7, 16] [4, 16] 
fireBL 102 StateAction StateAction [22, 9] [21, 9] 
fireBL 102 StateAction StateAction [17, 11] [17, 10] 
fireBL 102 StateAction StateAction [15, 13] [15, 14] 
controlT 102 StateAction StateAction [7, 16] [7, 19] 
fireBT 102 StateAction StateAction [3, 15] [4, 15] 
fireBL 102 StateAction StateAction [7, 13] [7, 14] 
fireBL 102 StateAction StateAction [12, 15] [12, 16] 
fireBL 102 StateAction StateAction [19, 16] [20, 16] 
fireBL 102 StateAction StateAction [18, 13] [18, 14] 
fireBT 102 StateAction StateAction [24, 14] [24, 15] 
fireBL 102 StateAction StateAction [12, 15] [13, 15] 
fireBL 102 StateAction StateAction [6, 11] [6, 10] 
fireBPA 102 StateAction StateAction [16, 15] [16, 16] 
fireBL 102 StateAction StateAction [5, 7] [6, 7] 
fireBL 102 StateAction StateAction [19, 15] [19, 16] 
fireBT 102 StateAction StateAction [0, 10] [0, 9] 
fireBL 102 StateAction StateAction [12, 14] [11, 14] 
fireBL 102 StateAction StateAction [14, 13] [14, 14] 
fireBL 102 StateAction StateAction [7, 13] [7, 14] 
fireBPA 102 StateAction StateAction [8, 15] [8, 16] 
fireBL 102 StateAction StateAction [22, 15] [22, 16] 
fireBL 102 StateAction StateAction [19, 16] [20, 16] 
fireBL 102 StateAction StateAction [12, 14] [13, 14] 
fireBT 102 StateAction StateAction [1, 9] [1, 8] 
fireBT 102 StateAction StateAction [24, 11] [24, 10] 
fireBT 102 StateAction StateAction [3, 10] [3, 9] 
fireBT 102 StateAction StateAction [4, 8] [3, 8] 
fireBL 102 StateAction StateAction [21, 10] [21, 9] 
fireBPA 102 StateAction StateAction [16, 15] [16, 16] 
fireBL 102 StateAction StateAction [19, 15] [18, 15] 
fireBL 102 StateAction StateAction [22, 9] [22, 8] 
fireBL 102 StateAction StateAction [18, 10] [18, 9] 
fireBL 102 StateAction StateAction [18, 10] [17, 10] 
fireBL 102 StateAction StateAction [5, 7] [6, 7] 
fireBPA 102 StateAction StateAction [19, 16] [18, 16] 
fireBL 102 StateAction StateAction [17, 11] [17, 10] 
fireBL 102 StateAction StateAction [8, 14] [7, 14] 
fireBL 102 StateAction StateAction [13, 11] [13, 10] 
fireBT 102 StateAction StateAction [1, 15] [1, 16] 
fireBL 102 StateAction StateAction [5, 7] [6, 7] 
fireBT 102 StateAction StateAction [1, 8] [2, 8] 
fireBL 102 StateAction StateAction [9, 10] [9, 9] 
fireBL 102 StateAction StateAction [22, 9] [22, 8] 
fireBL 102 StateAction StateAction [8, 15] [8, 16] 
fireBL 102 StateAction StateAction [5, 14] [5, 15] 
fireBT 102 StateAction StateAction [1, 8] [1, 7] 
fireBT 102 StateAction StateAction [2, 8] [3, 8] 
fireBL 102 StateAction StateAction [3, 16] [4, 16] 
fireBT 102 StateAction StateAction [1, 15] [0, 15] 
fireBL 102 StateAction StateAction [12, 11] [12, 10] 
fireBL 102 StateAction StateAction [6, 14] [7, 14] 
fireBT 102 StateAction StateAction [3, 15] [4, 15] 
fireBL 102 StateAction StateAction [12, 11] [12, 10] 
fireBL 102 StateAction StateAction [20, 14] [20, 15] 
fireBL 102 StateAction StateAction [17, 11] [17, 10] 
fireBT 102 StateAction StateAction [1, 16] [1, 17] 
fireBT 102 StateAction StateAction [0, 15] [0, 16] 
fireBL 102 StateAction StateAction [9, 13] [9, 14] 
fireBL 102 StateAction StateAction [5, 9] [6, 9] 
fireBT 102 StateAction StateAction [0, 15] [0, 14] 
fireBT 102 StateAction StateAction [2, 16] [2, 17] 
fireBH 102 StateAction StateAction [0, 14] [0, 13] 
fireBL 102 StateAction StateAction [7, 11] [7, 10] 
fireBT 102 StateAction StateAction [16, 11] [16, 10] 
fireBT 102 StateAction StateAction [24, 11] [24, 10] 
fireBL 102 StateAction StateAction [16, 16] [17, 16] 
fireBL 102 StateAction StateAction [15, 11] [15, 10] 
fireBL 102 StateAction StateAction [7, 13] [7, 14] 
fireBL 102 StateAction StateAction [3, 16] [4, 16] 
fireBL 102 StateAction StateAction [8, 10] [8, 9] 
fireBL 102 StateAction StateAction [14, 13] [14, 14] 
fireBL 102 StateAction StateAction [19, 16] [20, 16] 
fireBL 102 StateAction StateAction [6, 11] [6, 10] 
fireBL 102 StateAction StateAction [16, 10] [17, 10] 
fireBT 102 StateAction StateAction [3, 16] [3, 17] 
fireBL 102 StateAction StateAction [12, 15] [13, 15] 
fireBL 102 StateAction StateAction [19, 14] [18, 14] 
actControl 102 StateAction StateAction [16, 10] [16, 8] 
fireBL 102 StateAction StateAction [15, 13] [15, 14] 
fireBL 102 StateAction StateAction [6, 14] [6, 15] 
fireBT 102 StateAction StateAction [1, 17] [2, 17] 
fireBL 102 StateAction StateAction [19, 16] [18, 16] 
